Symbol,Name,Country,IPO Year,Sector,Industry
MDAI,Spectral AI Inc. Class A Common Stock,United States,2021,Health Care,Medical/Dental Instruments
MDAIW,Spectral AI Inc. Warrants,United States,2021,,
MDB,MongoDB Inc. Class A Common Stock,United States,2017,Technology,Computer Software: Prepackaged Software
MDGL,Madrigal Pharmaceuticals Inc. Common Stock,United States,2007,Health Care,Biotechnology: Pharmaceutical Preparations
MDRR,Medalist Diversified REIT Inc. Common Stock,United States,2018,Real Estate,Real Estate Investment Trusts
MEC,Mayville Engineering Company Inc. Common Stock,United States,2019,Industrials,Industrial Specialties
MEDP,Medpace Holdings Inc. Common Stock,United States,2016,Health Care,Biotechnology: Commercial Physical & Biological Resarch
MEG,Montrose Environmental Group Inc. Common Stock,United States,2020,Consumer Discretionary,Professional Services
MEGI,MainStay CBRE Global Infrastructure Megatrends Term Fund Common Shares,United States,2021,Finance,Investment Managers
MEIP,MEI Pharma Inc. Common Stock,United States,2003,Health Care,Biotechnology: Pharmaceutical Preparations
MESA,Mesa Air Group Inc. Common Stock,United States,2018,Consumer Discretionary,Air Freight/Delivery Services
MET,MetLife Inc. Common Stock,United States,2000,Finance,Life Insurance
META,Meta Platforms Inc. Class A Common Stock,United States,2012,Technology,Computer Software: Programming Data Processing
METC,Ramaco Resources Inc. Class A Common Stock,United States,2017,Energy,Coal Mining
MFD,Macquarie First Trust Global Common Stock,United States,2004,Finance,Trusts Except Educational Religious and Charitable
MFIC,MidCap Financial Investment Corporation Common Stock,United States,2004,Finance,Finance/Investors Services
MFM,MFS Municipal Income Trust Common Stock,United States,1986,Finance,Finance Companies
MG,Mistras Group Inc Common Stock,United States,2009,Consumer Discretionary,Military/Government/Technical
MGAM,Mobile Global Esports Inc. Common Stock,United States,2022,Consumer Discretionary,Services-Misc. Amusement & Recreation
MGF,MFS Government Markets Income Trust Common Stock,United States,1987,Finance,Trusts Except Educational Religious and Charitable
MGNX,MacroGenics Inc. Common Stock,United States,2013,Health Care,Biotechnology: Pharmaceutical Preparations
MGOL,MGO Global Inc. Common Stock,United States,2023,Consumer Discretionary,Advertising
MGR,Affiliated Managers Group Inc. 5.875% Junior Subordinated Notes due 2059,United States,2019,Finance,Investment Managers
MGRB,Affiliated Managers Group Inc. 4.750% Junior Subordinated Notes due 2060,United States,2020,Finance,Investment Managers
MGRC,McGrath RentCorp Common Stock,United States,1984,Consumer Discretionary,Diversified Commercial Services
MGRD,Affiliated Managers Group Inc. 4.200% Junior Subordinated Notes due 2061,United States,2021,Finance,Investment Managers
MGRM,Monogram Orthopaedics Inc. Common Stock,United States,2023,Health Care,Medical/Dental Instruments
MGRX,Mangoceuticals Inc. Common Stock,United States,2023,Technology,Computer Software: Prepackaged Software
MGTX,MeiraGTx Holdings plc Ordinary Shares,United States,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MGY,Magnolia Oil & Gas Corporation Class A Common Stock,United States,2017,Energy,Oil & Gas Production
MGYR,Magyar Bancorp Inc. Common Stock,United States,2006,Finance,Savings Institutions
MHD,Blackrock MuniHoldings Fund Inc. Common Stock,United States,1997,Finance,Investment Bankers/Brokers/Service
MHF,Western Asset Municipal High Income Fund Inc. Common Stock,United States,1988,Finance,Finance/Investors Services
MHI,Pioneer Municipal High Income Fund Inc.,United States,2003,Finance,Investment Managers
MHN,Blackrock MuniHoldings New York Quality Fund Inc. Common Stock,United States,1997,Finance,Investment Bankers/Brokers/Service
MHO,M/I Homes Inc. Common Stock,United States,1993,Consumer Discretionary,Homebuilding
MIMO,Airspan Networks Holdings Inc. Common Stock,United States,2020,Consumer Discretionary,Telecommunications Equipment
MIN,MFS Intermediate Income Trust Common Stock,United States,1988,Finance,Trusts Except Educational Religious and Charitable
MIND,MIND Technology Inc. Common Stock (DE),United States,1994,Industrials,Industrial Machinery/Components
MIR,Mirion Technologies Inc. Class A Common Stock,United States,2020,Technology,Industrial Machinery/Components
MIRA,MIRA Pharmaceuticals Inc. Common Stock,United States,2023,,
MIRM,Mirum Pharmaceuticals Inc. Common Stock,United States,2019,Health Care,Biotechnology: Pharmaceutical Preparations
MIRO,Miromatrix Medical Inc. Common Stock,United States,2021,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MITAU,Coliseum Acquisition Corp. Unit,United States,2021,Finance,Blank Checks
MITQ,Moving iMage Technologies Inc. Common Stock,United States,2021,Telecommunications,Telecommunications Equipment
MITT,AG Mortgage Investment Trust Inc. Common Stock,United States,2011,Real Estate,Real Estate Investment Trusts
MIY,Blackrock MuniYield Michigan Quality Fund Inc. Common Stock,United States,1992,Finance,Investment Bankers/Brokers/Service
MKFG,Markforged Holding Corporation Common Stock,United States,2020,Technology,Retail: Computer Software & Peripheral Equipment
MKL,Markel Group Inc. Common Stock,United States,1986,Finance,Property-Casualty Insurers
MKSI,MKS Instruments Inc. Common Stock,United States,1999,Industrials,Industrial Machinery/Components
MKTX,MarketAxess Holdings Inc. Common Stock,United States,2004,Finance,Investment Bankers/Brokers/Service
MKUL,Molekule Group Inc. Common Stock,United States,2021,Utilities,Environmental Services
ML,MoneyLion Inc. Class A Common Stock,United States,2020,Technology,Retail: Computer Software & Peripheral Equipment
MLGO,MicroAlgo Inc. Ordinary Shares,United States,2021,Technology,EDP Services
MLM,Martin Marietta Materials Inc. Common Stock,United States,1994,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
MLNK,MeridianLink Inc. Common Stock,United States,2021,Technology,Computer Software: Prepackaged Software
MLP,Maui Land & Pineapple Company Inc. Common Stock,United States,1998,Finance,Real Estate
MLSS,Milestone Scientific Inc. Common Stock,United States,2015,Health Care,Industrial Specialties
MLTX,MoonLake Immunotherapeutics Class A Ordinary Shares,United States,2020,Health Care,Biotechnology: Pharmaceutical Preparations
MLYS,Mineralys Therapeutics Inc. Common Stock,United States,2023,Health Care,Biotechnology: Pharmaceutical Preparations
MMD,MainStay MacKay DefinedTerm Municipal Opportunities Fund,United States,2012,Finance,Investment Managers
MMI,Marcus & Millichap Inc. Common Stock,United States,2013,Finance,Real Estate
MMLP,Martin Midstream Partners L.P. Limited Partnership,United States,2002,Energy,Oil Refining/Marketing
MMS,Maximus Inc. Common Stock,United States,1997,Consumer Discretionary,Business Services
MMT,MFS Multimarket Income Trust Common Stock,United States,1987,Finance,Trusts Except Educational Religious and Charitable
MMU,Western Asset Managed Municipals Fund Inc. Common Stock,United States,1992,Finance,Investment Managers
